date,Price,Price_pred
2019-01-01,10.9,16.037113
2019-01-02,11.6,15.770883
2019-01-03,10.2,14.794785
2019-01-04,10.2,14.604697
2019-01-05,8.9,12.618195
2019-01-06,9.0,10.459978
2019-01-08,9.3,7.715868
2019-01-09,9.2,8.372708
2019-01-10,9.1,7.314164
2019-01-11,8.1,8.864464
2019-01-12,8.8,8.959557
2019-01-13,9.2,8.095137
2019-01-15,9.5,7.5024652
2019-01-16,10.0,8.513004
2019-01-17,8.5,7.485916
2019-01-18,8.8,6.936137
2019-01-19,9.0,8.4037695
2019-01-20,9.5,8.600581
2019-01-22,8.9,8.001368
2019-01-23,9.3,7.1294336
2019-01-24,10.6,8.451663
2019-01-25,9.8,8.734987
2019-01-26,8.9,8.431591
2019-01-27,8.1,7.7010956
2019-01-29,8.0,7.914523
2019-01-30,9.0,8.084021
2019-01-31,8.7,8.316683
2019-02-01,8.4,8.093704
2019-02-02,7.300000000000001,6.164735
2019-02-03,7.5,7.5343876
2019-02-04,7.699999999999999,8.392581
2019-02-10,9.6,8.76384
2019-02-11,11.0,8.981694
2019-02-12,14.0,9.345467
2019-02-14,11.7,11.856464
2019-02-15,10.5,11.583855
2019-02-16,9.0,10.927388
2019-02-17,9.3,9.2457075
2019-02-18,9.9,8.285984
2019-02-19,7.4,9.879591
2019-02-22,8.5,10.412738
2019-02-23,7.1,9.570457
2019-02-24,7.6,8.442403
2019-02-26,8.5,6.824706
2019-02-27,9.0,8.214145
2019-02-28,9.7,8.3356495
2019-03-01,8.4,8.262849
2019-03-02,9.4,8.107837
2019-03-03,9.3,9.697092
2019-03-05,10.7,9.551924
2019-03-06,10.7,11.280611
2019-03-07,9.1,11.969196
2019-03-08,9.5,11.189379
2019-03-09,10.8,11.624802
2019-03-10,11.1,10.68483
2019-03-12,11.6,13.964271
2019-03-13,12.3,13.336282
2019-03-14,13.3,12.549206
2019-03-15,13.3,12.287962
2019-03-16,13.5,12.179949
2019-03-17,11.8,12.54328
2019-03-19,11.3,12.251288
2019-03-20,11.4,12.238926
2019-03-21,11.3,12.519192
2019-03-22,12.0,12.342236
2019-03-23,11.8,10.769997
2019-03-24,12.0,9.578106
2019-03-26,12.1,10.432579
2019-03-27,12.7,10.480961
2019-03-28,11.9,11.552696
2019-03-29,14.8,12.898151
2019-03-30,13.8,12.659345
2019-03-31,13.1,12.142792
2019-04-02,13.1,10.505982
2019-04-03,13.2,11.437592
2019-04-04,11.4,11.974207
2019-04-07,14.2,11.253616
2019-04-09,13.2,12.959099
2019-04-10,12.9,12.664562
2019-04-11,12.0,11.159761
2019-04-12,11.6,11.440877
2019-04-13,11.4,10.642975
2019-04-14,10.9,11.383436
2019-04-16,10.8,11.256436
2019-04-17,11.0,11.150542
2019-04-18,12.2,11.23747
2019-04-19,10.7,12.175819
2019-04-20,12.0,12.376848
2019-04-21,12.9,13.171793
2019-04-23,13.3,13.233781
2019-04-24,13.2,12.596687
2019-04-25,13.6,12.030263
2019-04-26,11.7,11.224194
2019-04-27,11.1,10.755699
2019-04-28,10.0,10.978427
2019-04-30,11.0,10.7817955
2019-05-01,10.3,10.721601
2019-05-02,12.2,11.787333
2019-05-03,13.3,12.881593
2019-05-04,12.9,12.371716
2019-05-05,12.3,13.498647
2019-05-07,12.3,12.892763
2019-05-08,13.5,13.2109585
2019-05-09,13.6,14.454571
2019-05-10,13.7,15.246572
2019-05-11,13.8,14.557022
2019-05-12,12.7,12.921732
2019-05-14,12.2,12.469542
2019-05-15,12.4,11.961159
2019-05-17,12.5,12.051089
2019-05-18,11.5,12.012484
2019-05-19,11.2,12.116482
2019-05-21,12.0,12.689903
2019-05-22,12.9,11.822044
2019-05-23,12.6,12.740186
2019-05-24,13.2,13.869614
2019-05-25,12.5,13.260506
2019-05-26,12.2,12.049931
2019-05-28,12.4,12.753079
2019-05-29,12.2,13.669124
2019-05-30,11.2,12.852331
2019-05-31,12.7,12.586105
2019-06-01,11.1,11.983113
2019-06-02,10.5,12.779872
2019-06-04,11.9,14.142607
2019-06-05,11.6,16.042627
2019-06-06,11.0,14.307791
2019-06-07,11.8,13.163898
2019-06-08,10.4,13.659505
2019-06-11,11.2,14.442539
2019-06-12,12.8,16.946413
2019-06-13,13.2,14.571688
2019-06-14,14.7,15.429539
2019-06-15,13.3,14.478342
2019-06-16,13.4,14.325384
2019-06-18,12.9,13.459341
2019-06-19,14.1,13.602375
2019-06-20,12.4,13.531692
2019-06-21,14.3,13.292194
2019-06-22,12.2,13.636004
2019-06-23,12.3,13.3063545
2019-06-25,12.7,14.547611
2019-06-26,14.3,14.149048
