date,Price,Price_pred
2019-01-01,70.0,77.6531
2019-01-02,69.9,77.943375
2019-01-03,70.0,79.85171
2019-01-04,69.7,78.48309
2019-01-05,70.0,76.38995
2019-01-06,69.6,75.55879
2019-01-08,70.0,74.88917
2019-01-09,70.1,75.93578
2019-01-10,69.6,76.08294
2019-01-11,69.9,75.1027
2019-01-12,69.9,75.5626
2019-01-13,70.0,75.58254
2019-01-15,70.0,75.408066
2019-01-16,70.1,73.9232
2019-01-17,70.1,73.81278
2019-01-18,69.7,74.82475
2019-01-19,69.4,75.39804
2019-01-20,70.0,75.471054
2019-01-22,69.9,75.22057
2019-01-23,70.1,75.15089
2019-01-24,70.1,75.71809
2019-01-25,70.1,76.55165
2019-01-26,70.1,74.30629
2019-01-27,70.2,74.58304
2019-01-29,70.2,75.08522
2019-01-30,68.4,76.18629
2019-01-31,69.6,74.681885
2019-02-01,68.7,72.0703
2019-02-02,69.6,73.92048
2019-02-03,69.9,73.71001
2019-02-04,70.1,72.2695
2019-02-10,70.0,74.12168
2019-02-11,70.0,75.859245
2019-02-12,68.9,75.59896
2019-02-14,69.9,76.02486
2019-02-15,69.8,75.61604
2019-02-16,70.1,75.67008
2019-02-17,70.2,75.6214
2019-02-18,70.0,77.50325
2019-02-19,69.9,76.07769
2019-02-22,69.9,74.07997
2019-02-23,70.3,75.21843
2019-02-24,70.0,74.547295
2019-02-26,70.0,71.7817
2019-02-27,70.1,73.57544
2019-02-28,70.3,74.056015
2019-03-01,70.0,74.96566
2019-03-02,70.1,74.33215
2019-03-03,69.6,74.9799
2019-03-05,70.2,74.233665
2019-03-06,69.9,72.85194
2019-03-07,70.0,72.54042
2019-03-08,69.8,73.288086
2019-03-09,69.9,73.30472
2019-03-10,70.1,72.632774
2019-03-12,70.2,71.734795
2019-03-13,70.1,70.3608
2019-03-14,70.1,71.03547
2019-03-15,70.0,70.48208
2019-03-16,70.3,70.83639
2019-03-17,70.0,72.03772
2019-03-19,70.2,72.60417
2019-03-20,70.0,73.09145
2019-03-21,69.9,71.934235
2019-03-22,70.0,70.022766
2019-03-23,70.0,71.387566
2019-03-24,69.7,70.76547
2019-03-26,70.0,71.09155
2019-03-27,70.0,72.709625
2019-03-28,70.0,72.478935
2019-03-29,70.0,71.65129
2019-03-30,70.5,70.850006
2019-03-31,70.0,70.44918
2019-04-02,69.8,71.57909
2019-04-03,69.8,73.482414
2019-04-04,69.8,73.69148
2019-04-07,70.0,74.004364
2019-04-09,70.1,72.96059
2019-04-10,69.9,71.63245
2019-04-11,70.0,71.420204
2019-04-12,70.4,70.7368
2019-04-13,70.2,71.73518
2019-04-14,69.5,71.60275
2019-04-16,70.3,71.92254
2019-04-17,70.0,70.40709
2019-04-18,69.9,71.73877
2019-04-19,70.2,71.67865
2019-04-20,70.0,71.75398
2019-04-21,70.1,71.85692
2019-04-23,69.8,69.80167
2019-04-24,70.0,70.019135
2019-04-25,69.9,69.90528
2019-04-26,70.2,68.55738
2019-04-27,70.4,69.532715
2019-04-28,71.6,69.82271
2019-04-30,78.5,70.31966
2019-05-01,79.8,72.55993
2019-05-02,79.7,73.21537
2019-05-03,80.0,76.71926
2019-05-04,79.8,77.28658
2019-05-05,80.0,77.78927
2019-05-07,79.1,78.64319
2019-05-08,79.9,78.77209
2019-05-09,79.8,80.410095
2019-05-10,93.7,82.149284
2019-05-11,99.2,86.9296
2019-05-12,99.6,89.286476
2019-05-14,99.4,90.87898
2019-05-15,99.8,93.265396
2019-05-17,98.3,96.58024
2019-05-18,98.4,97.348946
2019-05-19,99.8,99.158485
2019-05-21,99.9,97.25026
2019-05-22,100.0,96.42294
2019-05-23,99.9,96.48145
2019-05-24,99.7,98.72705
2019-05-25,97.9,99.14634
2019-05-26,100.0,98.42629
2019-05-28,98.7,97.50367
2019-05-29,99.8,97.455505
2019-05-30,99.7,97.11152
2019-05-31,99.2,98.12522
2019-06-01,99.4,98.27004
2019-06-02,99.9,97.58757
2019-06-04,94.2,97.18074
2019-06-05,99.9,94.990524
2019-06-06,99.8,96.59692
2019-06-07,99.8,95.73123
2019-06-08,98.9,96.71166
2019-06-11,97.2,96.20273
2019-06-12,100.0,96.588425
2019-06-13,99.7,96.07297
2019-06-14,99.3,96.52178
2019-06-15,99.6,97.80286
2019-06-16,97.5,97.90223
2019-06-18,89.6,97.38836
2019-06-19,90.0,92.38815
2019-06-20,89.8,90.32222
2019-06-21,89.8,89.461975
2019-06-22,89.5,88.90851
2019-06-23,89.5,89.82005
2019-06-25,89.5,89.88639
2019-06-26,89.9,90.02813
2019-06-27,90.0,90.130295
2019-06-28,90.0,89.13435
2019-06-29,89.5,89.027885
2019-06-30,89.9,89.05948
2019-07-02,90.0,87.8397
2019-07-03,90.0,89.843025
2019-07-04,90.0,90.60815
2019-07-05,89.4,89.38977
2019-07-06,88.4,89.73403
2019-07-07,85.2,89.99829
2019-07-09,85.0,88.49721
2019-07-10,85.3,87.00526
2019-07-11,84.8,85.06019
2019-07-12,85.1,85.08605
2019-07-13,85.0,84.57212
2019-07-14,84.8,85.24272
2019-07-16,84.9,84.27688
2019-07-17,85.0,84.744064
2019-07-18,85.0,83.68265
2019-07-19,85.0,83.89496
2019-07-20,85.0,83.0575
2019-07-21,85.0,81.94437
2019-07-23,84.7,82.29286
2019-07-24,85.0,83.79167
2019-07-25,85.0,82.787186
2019-07-26,85.0,83.44028
2019-07-27,85.0,84.96419
2019-07-28,85.0,86.23232
2019-07-30,84.8,83.31638
2019-07-31,84.9,83.1165
2019-08-01,84.8,82.40519
2019-08-02,85.0,83.7063
2019-08-03,84.1,85.799965
2019-08-04,86.1,84.33296
2019-08-06,89.8,84.698715
2019-08-07,90.1,85.83891
2019-08-08,88.9,86.47341
2019-08-09,90.0,87.98816
2019-08-10,90.0,91.66867
2019-08-11,89.9,84.75918
2019-08-13,89.9,88.34178
2019-08-14,90.0,87.6351
2019-08-15,89.9,87.30755
2019-08-18,89.9,87.14856
2019-08-20,89.8,87.56505
2019-08-21,94.8,87.76485
2019-08-22,99.1,88.13057
2019-08-23,99.8,91.15232
2019-08-24,99.7,92.342476
2019-08-25,99.1,94.29442
2019-08-27,99.9,97.600685
2019-08-28,99.5,98.335526
2019-08-29,99.0,99.04517
2019-08-30,99.6,98.62284
2019-08-31,100.0,98.25978
2019-09-01,100.0,96.38821
2019-09-03,99.8,99.7413
2019-09-04,99.7,99.8746
2019-09-05,100.7,100.36372
2019-09-06,105.6,100.13318
2019-09-07,108.6,100.92549
2019-09-08,98.0,105.59224
2019-09-10,109.8,100.97184
2019-09-11,109.9,103.38113
2019-09-12,109.9,103.21328
2019-09-13,109.3,104.512054
2019-09-14,110.0,106.58308
2019-09-18,109.6,109.07657
2019-09-19,109.8,109.34591
2019-09-20,109.6,111.59567
2019-09-21,108.4,111.17435
2019-09-22,109.8,110.29764
2019-09-24,109.7,113.43904
2019-09-25,109.3,109.851456
2019-09-26,109.2,107.853676
2019-09-27,109.5,107.863945
2019-09-28,108.1,109.319725
2019-09-29,109.4,111.24664
2019-10-01,109.7,108.17795
2019-10-02,110.0,109.0865
2019-10-03,109.5,108.682915
2019-10-04,109.6,107.47125
2019-10-05,109.8,105.61458
2019-10-06,109.3,106.52785
2019-10-08,109.6,106.50959
2019-10-09,110.0,106.86502
2019-10-10,110.0,108.30029
2019-10-11,110.1,108.81609
2019-10-12,110.1,108.88742
2019-10-13,109.8,110.44129
2019-10-15,109.4,111.66403
2019-10-16,110.0,112.84113
2019-10-18,109.3,111.25727
2019-10-19,109.8,110.71927
2019-10-20,110.0,110.89991
2019-10-22,110.0,111.13283
2019-10-23,110.1,111.36316
2019-10-24,110.0,111.01709
2019-10-25,110.0,113.30673
2019-10-26,109.9,112.85214
2019-10-27,110.0,111.5884
2019-10-29,109.6,111.9312
2019-10-30,110.0,110.11943
2019-10-31,108.4,110.89494
2019-11-01,110.0,109.197105
2019-11-02,110.0,108.39373
2019-11-03,109.8,108.515884
2019-11-05,110.1,106.724
2019-11-06,109.9,108.2055
2019-11-07,109.7,106.84497
2019-11-08,109.2,109.331635
2019-11-09,109.9,110.572296
2019-11-10,109.3,111.604706
2019-11-12,109.4,109.98953
2019-11-13,109.9,109.80658
2019-11-15,109.9,110.09583
2019-11-16,109.8,108.74634
2019-11-17,109.8,108.531685
2019-11-19,109.7,110.21674
2019-11-20,109.7,110.48416
2019-11-21,109.3,110.52131
2019-11-22,108.4,112.30394
2019-11-23,109.3,112.683685
2019-11-24,109.9,112.16447
2019-11-26,109.9,110.59414
2019-11-27,109.8,110.754776
2019-11-28,110.0,110.2245
2019-11-29,110.1,110.48049
2019-11-30,109.7,110.903595
2019-12-01,109.8,110.5575
2019-12-03,110.1,109.78189
2019-12-04,110.1,108.86002
2019-12-05,110.1,107.09418
2019-12-06,109.4,108.00441
2019-12-07,109.0,106.905334
2019-12-08,110.0,103.48728
2019-12-10,110.1,105.28487
2019-12-11,115.2,105.83379
2019-12-12,115.1,107.72112
2019-12-13,113.9,110.96658
2019-12-14,115.3,110.99513
2019-12-15,115.0,112.110504
2019-12-17,114.9,112.62506
2019-12-18,115.4,111.64749
2019-12-19,115.1,111.9253
2019-12-20,114.5,111.69164
2019-12-21,115.8,113.15379
2019-12-22,119.9,113.35034
2019-12-24,120.3,114.865746
2019-12-25,120.1,117.36573
2019-12-26,119.7,117.55668
2019-12-27,118.9,118.14781
2019-12-28,121.0,118.31841
2019-12-29,125.0,118.677704
