date,Price,Price_pred
2019-01-01,15.4,18.306126
2019-01-02,17.8,19.036264
2019-01-03,14.8,21.596514
2019-01-04,16.3,20.937883
2019-01-05,14.3,14.725899
2019-01-06,14.9,12.241673
2019-01-08,12.3,13.369081
2019-01-09,11.2,12.7408495
2019-01-10,11.6,13.40061
2019-01-11,7.999999999999998,14.784399
2019-01-12,12.3,10.945809
2019-01-13,9.8,11.096272
2019-01-15,11.8,11.776379
2019-01-16,12.0,10.938736
2019-01-17,12.0,14.327195
2019-01-18,12.8,13.113843
2019-01-19,10.6,15.726836
2019-01-20,11.6,12.968419
2019-01-22,12.9,12.4685
2019-01-23,15.8,15.648881
2019-01-24,13.1,19.311293
2019-01-25,13.0,14.904146
2019-01-26,16.9,11.981334
2019-01-27,13.0,14.474216
2019-01-29,15.6,16.33032
2019-01-30,14.0,17.737251
2019-01-31,15.5,12.45927
2019-02-01,15.6,7.693239
2019-02-02,13.0,10.432028
2019-02-03,13.9,10.030046
2019-02-04,24.4,8.535641
2019-02-10,17.4,14.380394
2019-02-11,20.5,15.296532
2019-02-12,20.6,16.70038
2019-02-14,18.4,18.749609
2019-02-15,18.8,14.687941
2019-02-16,17.1,14.518318
2019-02-17,15.7,11.258438
2019-02-18,20.0,13.661919
2019-02-19,19.6,17.550236
2019-02-22,18.8,16.597687
2019-02-23,20.5,14.671667
2019-02-24,18.2,17.481153
2019-02-26,19.3,21.837107
2019-02-27,18.3,17.154629
2019-02-28,16.9,17.929276
2019-03-01,15.9,17.135042
2019-03-02,14.6,14.976981
2019-03-03,13.5,14.104741
2019-03-05,14.9,10.975934
2019-03-06,15.4,11.884078
2019-03-07,16.4,11.530034
2019-03-08,17.2,15.890305
2019-03-09,20.7,15.456032
2019-03-10,19.4,12.013819
2019-03-12,32.0,15.52894
2019-03-13,29.9,22.79101
2019-03-14,40.6,26.964172
2019-03-15,41.2,38.670456
2019-03-16,48.8,46.278503
2019-03-17,50.3,46.238068
2019-03-19,54.2,44.20321
2019-03-20,47.6,40.953384
2019-03-21,42.0,36.301266
2019-03-22,30.6,26.603252
2019-03-23,33.8,15.700363
2019-03-24,32.0,19.88532
2019-03-26,38.7,30.276888
2019-03-27,42.7,26.603949
2019-03-28,45.5,31.970459
2019-03-29,45.8,33.464775
2019-03-30,41.5,30.412735
2019-03-31,36.1,25.487188
2019-04-02,33.0,21.423689
2019-04-03,25.7,23.014944
2019-04-04,22.5,15.722462
2019-04-07,22.8,16.784882
2019-04-09,16.6,17.68954
2019-04-10,14.2,14.61131
2019-04-11,11.3,10.623662
2019-04-12,10.1,10.633226
2019-04-13,9.8,9.326977
2019-04-14,10.2,8.805785
2019-04-16,9.2,9.5755825
2019-04-17,10.2,11.95618
2019-04-18,8.5,10.447603
2019-04-19,8.4,8.069947
2019-04-20,13.0,9.353417
2019-04-21,10.1,11.08209
2019-04-23,13.2,11.302839
2019-04-24,10.1,15.646288
2019-04-25,9.4,14.09463
2019-04-26,10.4,15.014204
2019-04-27,12.6,17.150692
2019-04-28,12.7,17.149115
2019-04-30,11.0,14.822908
2019-05-01,11.5,8.873988
2019-05-02,14.6,14.088941
2019-05-03,12.9,14.441443
2019-05-04,14.6,16.05208
2019-05-05,13.9,15.728632
2019-05-07,22.8,12.908777
2019-05-08,21.9,18.263561
2019-05-09,24.4,21.463547
2019-05-10,24.8,18.106876
2019-05-11,25.9,19.098436
2019-05-12,25.8,24.228836
2019-05-14,31.7,25.07473
2019-05-15,26.3,28.290228
2019-05-17,26.1,25.733616
2019-05-18,30.7,23.109499
2019-05-19,23.4,32.42332
2019-05-21,30.8,30.398308
2019-05-22,29.3,31.815315
2019-05-23,27.5,31.626295
2019-05-24,30.7,27.385382
2019-05-25,28.7,33.14418
2019-05-26,26.4,29.581917
2019-05-28,29.3,23.783365
2019-05-29,29.2,26.675592
2019-05-30,33.0,27.383812
2019-05-31,22.9,30.546112
2019-06-01,22.5,22.210716
2019-06-02,17.9,24.632225
2019-06-04,17.1,21.844063
2019-06-05,19.1,18.539267
2019-06-06,15.7,17.377472
2019-06-07,18.5,19.397617
2019-06-08,18.3,22.608126
2019-06-11,21.7,22.653206
2019-06-12,20.7,18.178291
2019-06-13,22.9,9.865224
2019-06-14,18.0,29.620535
2019-06-15,23.6,23.508698
2019-06-16,22.5,43.95152
2019-06-18,23.7,39.66092
2019-06-19,26.3,38.294903
2019-06-20,30.9,38.156483
2019-06-21,31.3,37.53103
2019-06-22,32.6,36.968636
2019-06-23,30.8,32.375427
2019-06-25,33.5,33.902855
2019-06-26,29.7,31.456314
2019-06-27,27.4,34.58051
2019-06-28,22.4,33.881207
2019-06-29,22.1,29.559406
2019-06-30,29.8,29.87153
2019-07-02,34.7,33.657074
2019-07-03,42.6,38.582787
2019-07-04,49.3,52.349197
2019-07-05,43.7,46.10022
2019-07-06,37.3,48.376694
2019-07-07,27.3,43.136993
2019-07-09,25.0,36.051125
2019-07-10,22.7,38.152847
2019-07-11,23.4,36.90058
2019-07-12,27.5,35.349377
2019-07-13,28.5,42.61187
2019-07-14,31.1,41.11274
2019-07-16,41.0,38.57431
2019-07-17,39.2,37.584415
2019-07-18,46.9,32.572094
2019-07-19,42.1,45.166725
2019-07-20,22.9,52.538925
2019-07-21,24.4,34.37
2019-07-23,20.8,33.722572
2019-07-24,19.9,30.299728
2019-07-25,21.8,30.427118
2019-07-26,19.6,29.878403
2019-07-27,19.2,28.796766
2019-07-28,23.1,22.413218
2019-07-30,17.9,25.697138
2019-07-31,19.4,20.075024
2019-08-01,20.3,22.419762
2019-08-02,20.0,24.538319
2019-08-03,22.1,25.389397
2019-08-04,18.5,24.56102
2019-08-06,19.0,22.537086
2019-08-07,22.5,23.45996
2019-08-08,22.2,30.116188
2019-08-09,20.5,36.064476
2019-08-10,24.0,33.10343
2019-08-11,17.0,32.2886
2019-08-13,15.7,34.868202
2019-08-14,18.1,38.78479
2019-08-15,19.0,37.43748
2019-08-18,23.9,35.145042
2019-08-20,40.4,31.104177
2019-08-21,43.0,42.642654
2019-08-22,44.3,53.10282
2019-08-23,54.89999999999999,53.450424
2019-08-24,63.89999999999999,57.553272
2019-08-25,64.2,67.41502
2019-08-27,57.2,39.931442
2019-08-28,53.5,36.135532
2019-08-29,48.4,35.665245
2019-08-30,47.7,48.060837
2019-08-31,54.400000000000006,58.73413
2019-09-01,52.8,49.673866
2019-09-03,53.1,40.608833
2019-09-04,45.9,43.20175
2019-09-05,45.0,49.14989
2019-09-06,30.9,54.274323
2019-09-07,24.2,49.18253
2019-09-08,20.3,45.20947
2019-09-10,23.5,29.5183
2019-09-11,30.2,26.942757
2019-09-12,33.9,27.684372
2019-09-13,36.2,32.892647
2019-09-14,33.4,33.705822
2019-09-17,19.6,32.27443
2019-09-18,21.4,24.288956
2019-09-19,21.6,19.712868
2019-09-20,22.1,16.37527
2019-09-21,19.4,15.874564
2019-09-22,26.5,12.814687
2019-09-24,27.2,17.646458
2019-09-25,28.5,23.512745
2019-09-26,24.2,23.727446
2019-09-27,20.9,22.18017
2019-09-28,14.5,18.741875
2019-09-29,12.8,12.745253
2019-10-01,15.9,10.6323185
2019-10-02,15.4,11.505036
2019-10-03,16.4,17.263996
2019-10-04,16.7,18.082016
2019-10-05,16.6,17.91522
2019-10-06,17.8,17.878798
2019-10-08,21.1,18.63245
2019-10-09,17.2,16.01617
2019-10-10,18.5,15.03166
2019-10-11,13.3,15.904846
2019-10-12,13.5,13.506695
2019-10-13,14.9,11.018776
2019-10-15,14.0,11.464077
2019-10-16,17.3,13.484779
2019-10-18,15.2,14.013222
2019-10-19,16.8,11.993971
2019-10-20,16.7,13.056617
2019-10-22,19.3,12.458463
2019-10-23,18.1,15.019165
2019-10-24,16.4,14.238821
2019-10-25,16.0,9.98934
2019-10-26,14.8,10.682303
2019-10-27,16.3,11.987324
2019-10-29,17.1,12.575555
2019-10-30,15.2,14.933257
2019-10-31,13.6,14.674307
2019-11-01,10.7,10.96757
2019-11-02,11.6,8.675241
2019-11-03,15.2,11.711095
2019-11-05,15.9,15.923388
2019-11-06,16.6,15.943798
2019-11-07,17.6,17.571838
2019-11-08,18.6,15.159828
2019-11-09,21.5,18.351316
2019-11-10,23.6,18.411863
2019-11-12,25.0,20.488781
2019-11-13,27.4,19.181728
2019-11-15,21.6,19.233284
2019-11-16,20.2,15.1532
2019-11-17,13.3,13.35531
2019-11-19,16.4,9.577435
2019-11-20,14.4,11.923697
2019-11-21,14.7,13.982846
2019-11-22,15.2,14.647353
2019-11-23,16.1,17.105894
2019-11-24,16.7,13.983719
2019-11-26,16.6,16.458807
2019-11-27,18.0,13.554442
2019-11-28,19.7,16.085999
2019-11-29,19.5,13.268799
2019-11-30,20.3,18.945211
2019-12-01,25.6,19.85712
2019-12-03,29.2,19.26602
2019-12-04,33.0,24.045973
2019-12-05,31.0,28.859976
2019-12-06,35.2,32.74395
2019-12-07,38.5,36.87484
2019-12-08,31.8,41.455276
2019-12-10,37.3,37.463127
2019-12-11,28.2,41.978
2019-12-12,28.1,36.918198
2019-12-13,23.3,30.044426
2019-12-14,20.4,27.516863
2019-12-15,21.6,18.906633
2019-12-17,26.0,16.091587
2019-12-18,22.9,16.116692
2019-12-19,20.5,10.469517
2019-12-20,15.6,12.101678
2019-12-21,15.7,13.150353
2019-12-22,13.7,10.787039
2019-12-24,13.7,9.69443
2019-12-25,13.3,9.686952
2019-12-26,11.8,9.639833
2019-12-27,11.3,6.0036583
2019-12-28,10.2,8.927069
2019-12-29,11.0,14.19731
