date,Price,Price_pred
2019-01-01,26.0,22.861876
2019-01-02,31.3,19.730017
2019-01-03,30.2,19.985209
2019-01-04,30.4,22.033504
2019-01-05,29.8,25.413652
2019-01-06,33.9,28.03578
2019-01-08,33.1,30.054739
2019-01-09,31.6,32.05211
2019-01-10,28.2,29.145182
2019-01-11,25.8,28.762335
2019-01-12,25.0,27.93496
2019-01-13,24.6,27.239977
2019-01-15,26.0,24.931473
2019-01-16,26.6,25.112812
2019-01-17,25.7,26.792938
2019-01-18,26.5,24.438786
2019-01-19,26.3,27.775032
2019-01-20,27.0,27.059052
2019-01-22,29.0,26.746191
2019-01-23,29.9,26.023746
2019-01-24,27.7,26.436768
2019-01-25,26.9,25.583145
2019-01-26,26.2,24.807043
2019-01-27,26.1,23.706505
2019-01-29,24.1,24.631092
2019-01-30,26.9,25.01286
2019-01-31,27.2,26.653902
2019-02-01,29.6,24.962929
2019-02-02,25.1,22.847351
2019-02-03,24.3,22.945442
2019-02-04,35.4,25.934336
2019-02-10,20.8,33.127693
2019-02-11,18.5,23.71416
2019-02-12,12.899999999999999,20.847424
2019-02-14,20.5,17.729256
2019-02-15,21.9,21.255306
2019-02-16,24.2,25.178741
2019-02-17,20.4,24.0716
2019-02-18,19.2,18.835346
2019-02-19,20.9,18.392927
2019-02-22,22.1,22.118015
2019-02-23,20.0,20.221931
2019-02-24,19.5,17.310804
2019-02-26,23.8,21.570509
2019-02-27,21.5,25.116505
2019-02-28,27.9,21.668224
2019-03-01,30.2,23.822115
2019-03-02,27.0,25.567339
2019-03-03,27.5,25.14645
2019-03-05,27.1,25.682774
2019-03-06,26.4,25.718481
2019-03-07,24.9,25.43402
2019-03-08,28.6,29.761734
2019-03-09,40.5,31.07427
2019-03-10,38.1,38.796257
2019-03-12,35.0,32.860405
2019-03-13,31.2,34.74551
2019-03-14,33.3,32.85102
2019-03-15,30.6,33.08045
2019-03-16,26.3,32.331856
2019-03-17,27.8,28.747372
2019-03-19,30.4,26.482449
2019-03-20,30.6,28.139633
2019-03-21,30.8,28.518698
2019-03-22,28.2,30.863926
2019-03-23,29.5,28.127243
2019-03-24,27.0,27.292324
2019-03-26,31.1,27.747131
2019-03-27,29.9,28.929714
2019-03-28,30.6,28.366629
2019-03-29,29.6,28.849184
2019-03-30,27.8,25.92265
2019-03-31,31.1,26.244125
2019-04-02,31.4,28.555614
2019-04-03,31.7,27.514498
2019-04-04,33.0,27.634686
2019-04-07,38.4,28.936815
2019-04-09,33.5,32.45508
2019-04-10,32.8,31.013006
2019-04-11,29.1,31.040367
2019-04-12,27.8,27.298199
2019-04-13,30.3,26.206217
2019-04-14,34.0,29.888762
2019-04-16,31.2,31.571161
2019-04-17,30.6,30.794598
2019-04-18,35.3,31.885576
2019-04-19,35.4,35.142952
2019-04-20,35.9,33.76999
2019-04-21,36.0,34.29866
2019-04-23,35.4,30.332394
2019-04-24,29.2,28.720236
2019-04-25,28.1,27.413021
2019-04-26,27.7,24.922655
2019-04-27,28.2,26.164555
2019-04-28,22.5,26.235846
2019-04-30,24.3,23.717085
2019-05-01,24.4,21.077122
2019-05-02,27.9,23.488361
2019-05-03,31.5,28.036575
2019-05-04,34.5,29.693008
2019-05-05,35.0,32.093403
2019-05-07,33.1,34.32432
2019-05-08,34.8,30.69616
2019-05-09,29.6,34.147644
2019-05-10,22.5,27.792572
2019-05-11,21.3,23.061373
2019-05-12,22.7,21.412735
2019-05-14,25.2,22.634352
2019-05-15,25.7,23.267845
2019-05-17,25.4,23.18925
2019-05-18,25.1,22.648602
2019-05-19,30.0,20.37352
2019-05-21,29.1,24.76771
2019-05-22,36.2,28.10687
2019-05-23,39.2,32.070225
2019-05-24,37.0,32.55245
2019-05-25,34.4,32.103188
2019-05-26,28.9,31.45582
2019-05-28,28.1,30.546326
2019-05-29,28.9,25.81924
2019-05-30,36.4,29.428963
2019-05-31,36.9,33.4515
2019-06-01,37.9,32.21705
2019-06-02,38.0,33.119114
2019-06-04,44.0,35.416016
2019-06-05,47.1,35.53621
2019-06-06,48.6,41.840034
2019-06-07,49.4,43.354954
2019-06-08,38.7,43.258926
2019-06-11,35.2,38.455124
2019-06-12,28.8,26.021463
2019-06-13,39.9,25.605114
2019-06-14,39.8,30.901405
2019-06-15,38.2,34.134262
2019-06-16,37.5,36.105682
2019-06-18,40.9,32.941177
2019-06-19,39.8,34.67029
2019-06-20,36.5,34.413525
2019-06-21,34.2,31.56267
2019-06-22,31.5,31.392042
2019-06-23,34.7,28.829924
2019-06-25,35.9,28.190681
