date,Price,Price_pred
2019-01-01,34.9,49.158264
2019-01-02,30.0,65.37471
2019-01-03,30.4,66.2134
2019-01-04,39.6,58.288895
2019-01-05,43.0,43.796707
2019-01-06,49.6,35.152786
2019-01-08,47.0,43.65206
2019-01-09,42.7,38.126934
2019-01-10,46.6,41.378757
2019-01-11,48.1,40.15308
2019-01-12,43.4,46.034264
2019-01-13,43.2,42.27552
2019-01-15,42.9,43.87344
2019-01-16,43.6,42.076424
2019-01-17,45.5,49.759865
2019-01-18,49.9,42.17434
2019-01-19,48.7,49.028587
2019-01-20,66.5,50.10352
2019-01-22,68.1,58.531113
2019-01-23,65.3,59.766563
2019-01-24,85.3,67.998436
2019-01-25,68.4,71.03964
2019-01-26,65.3,80.16397
2019-01-27,66.1,95.84331
2019-01-29,55.3,95.40377
2019-01-30,59.2,91.04393
2019-01-31,62.9,84.33638
2019-02-01,59.4,75.40036
2019-02-02,67.0,58.039948
2019-02-03,77.6,55.340202
2019-02-04,54.6,59.418274
2019-02-10,51.7,51.03554
2019-02-11,57.0,49.93709
2019-02-12,53.4,52.57434
2019-02-15,60.6,46.48836
2019-02-16,56.1,40.05513
2019-02-17,38.4,34.09383
2019-02-18,34.9,33.875217
2019-02-19,30.4,44.02093
2019-02-23,27.3,42.34549
2019-02-24,31.5,38.51312
2019-02-26,49.4,34.086685
2019-02-27,41.0,40.198277
2019-02-28,43.6,34.06787
2019-03-01,54.1,29.277126
2019-03-02,55.9,33.948788
2019-03-03,35.7,32.422295
2019-03-05,39.5,23.942081
2019-03-06,44.2,42.454292
2019-03-07,41.4,37.362823
2019-03-08,37.4,34.695744
2019-03-09,38.8,49.345303
2019-03-10,36.5,37.433777
2019-03-12,36.2,40.500584
2019-03-13,33.8,49.517677
2019-03-14,34.8,40.596214
2019-03-15,32.7,38.929287
2019-03-16,30.9,33.228085
2019-03-17,29.5,31.276888
2019-03-19,28.7,37.136475
2019-03-20,31.7,36.32273
2019-03-21,33.2,31.883057
2019-03-22,33.7,32.313885
2019-03-23,34.8,30.751143
2019-03-24,36.2,30.371983
2019-03-26,36.6,33.32871
2019-03-27,33.2,29.583694
2019-03-28,33.2,32.56809
2019-03-29,31.1,34.038834
2019-03-30,31.7,35.950825
2019-03-31,29.8,35.1586
2019-04-02,33.0,27.663101
2019-04-03,37.8,30.237463
2019-04-04,37.4,28.206623
2019-04-07,43.0,34.56864
2019-04-09,37.6,31.874386
2019-04-10,35.3,35.461445
2019-04-11,37.7,35.643997
2019-04-12,34.5,38.72786
2019-04-13,36.0,37.432384
2019-04-14,37.0,32.645294
2019-04-16,39.2,35.570393
2019-04-17,42.5,35.74933
2019-04-18,39.3,37.1948
2019-04-19,47.1,36.734226
2019-04-20,81.3,35.925804
2019-04-21,72.1,50.641235
2019-04-23,57.3,50.7479
2019-04-24,47.2,56.94735
2019-04-25,48.3,51.80739
2019-04-26,43.3,50.862778
2019-04-27,36.6,42.493942
2019-04-28,38.1,37.582157
2019-04-30,37.3,37.030838
2019-05-01,41.4,40.24534
2019-05-02,33.3,34.589348
2019-05-03,32.5,39.207897
2019-05-04,38.8,44.104404
2019-05-05,28.6,39.105007
2019-05-07,23.8,34.985035
2019-05-08,18.7,37.04549
2019-05-09,22.8,32.223614
2019-05-10,29.7,32.07605
2019-05-11,30.4,29.560192
2019-05-12,35.3,27.72947
2019-05-14,28.299999999999997,30.028114
2019-05-15,31.0,26.72297
2019-05-17,27.4,27.447218
2019-05-18,26.8,24.419935
2019-05-19,25.0,31.960852
2019-05-21,23.3,29.894547
2019-05-22,22.0,32.517365
2019-05-23,28.199999999999996,32.647766
2019-05-24,30.7,31.895775
2019-05-25,29.6,32.800064
2019-05-26,33.9,32.029396
2019-05-28,34.0,33.320415
2019-05-29,59.1,29.9276
2019-05-30,51.5,34.544167
2019-05-31,42.5,38.207985
2019-06-01,39.6,37.7992
2019-06-02,33.8,38.681072
2019-06-04,34.1,39.400394
2019-06-05,30.2,38.149292
2019-06-06,32.3,40.445362
2019-06-07,36.0,35.273243
2019-06-08,26.9,38.760826
2019-06-11,30.7,39.730194
2019-06-12,29.7,35.536068
2019-06-13,27.3,29.53757
2019-06-14,28.8,28.535538
2019-06-15,29.2,24.72282
2019-06-16,30.9,31.62797
2019-06-18,27.5,30.593277
2019-06-19,27.8,28.644836
2019-06-20,27.1,32.009155
2019-06-21,27.8,32.085632
2019-06-22,27.3,34.112274
2019-06-23,25.6,31.569822
2019-06-25,26.3,30.841068
2019-06-26,30.5,32.892982
2019-06-27,27.5,33.931614
2019-06-28,30.9,30.216562
2019-06-29,28.5,29.114536
2019-06-30,25.9,23.309853
2019-07-02,32.9,28.670551
2019-07-03,33.6,33.290627
2019-07-04,29.3,41.269382
2019-07-05,35.8,40.825245
2019-07-06,42.6,43.08774
2019-07-07,39.2,46.00384
2019-07-09,46.3,46.17375
2019-07-10,48.0,48.20758
2019-07-11,37.8,51.58684
2019-07-12,34.5,46.70397
2019-07-13,35.8,38.28916
2019-07-14,33.3,43.864254
2019-07-16,35.0,41.034164
2019-07-17,31.6,37.290073
2019-07-18,31.3,38.364002
2019-07-19,27.2,33.78611
2019-07-20,26.8,37.318142
2019-07-21,26.6,36.98722
2019-07-23,23.4,33.706154
2019-07-24,25.9,33.61324
2019-07-25,29.4,28.812511
2019-07-26,34.2,28.760761
2019-07-27,36.4,30.682611
2019-07-28,33.6,34.692055
2019-07-30,31.9,31.801535
2019-07-31,33.0,32.839066
