date,Price,Price_pred
2019-01-01,20.1,20.191242
2019-01-02,20.1,20.191896
2019-01-03,20.1,20.229006
2019-01-04,20.1,20.240545
2019-01-05,20.0,20.258715
2019-01-06,20.2,20.21073
2019-01-08,20.1,20.184368
2019-01-09,20.1,20.185444
2019-01-10,20.1,20.175816
2019-01-11,20.1,20.172882
2019-01-12,20.0,20.16055
2019-01-13,20.2,20.145863
2019-01-15,20.1,20.140745
2019-01-16,20.1,20.167095
2019-01-17,20.1,20.151949
2019-01-18,20.1,20.168093
2019-01-19,20.0,20.151978
2019-01-20,20.1,20.18409
2019-01-22,20.1,20.152983
2019-01-23,20.1,20.203835
2019-01-24,20.1,20.177076
2019-01-25,20.1,20.182178
2019-01-26,20.0,20.189907
2019-01-27,20.1,20.173914
2019-01-29,20.1,20.192638
2019-01-30,20.1,20.227617
2019-01-31,20.1,20.218628
2019-02-01,20.4,20.149044
2019-02-02,20.0,20.157047
2019-02-03,20.3,20.181675
2019-02-04,20.3,20.171484
2019-02-10,20.0,20.170803
2019-02-11,20.2,20.186764
2019-02-12,20.1,20.211977
2019-02-14,20.1,20.234022
2019-02-15,20.1,20.16399
2019-02-16,20.1,20.175823
2019-02-17,20.3,20.154291
2019-02-18,20.1,20.13464
2019-02-19,20.1,20.163662
2019-02-22,20.1,20.143658
2019-02-23,20.1,20.137028
2019-02-24,20.1,20.157402
2019-02-26,20.1,20.235668
2019-02-27,20.0,20.188185
2019-02-28,20.1,20.19043
2019-03-01,20.1,20.148697
2019-03-02,20.1,20.165648
2019-03-03,20.1,20.143047
2019-03-05,20.1,20.137325
2019-03-06,20.1,20.152548
2019-03-07,20.1,20.092873
2019-03-08,20.1,20.122314
2019-03-09,20.0,20.15116
2019-03-10,20.1,20.181503
2019-03-12,20.1,20.107347
2019-03-13,20.3,20.142012
2019-03-14,20.1,20.151207
2019-03-15,20.1,20.153082
2019-03-16,20.1,20.169926
2019-03-17,20.1,20.19378
2019-03-19,20.1,20.18337
2019-03-20,20.1,20.17523
2019-03-21,20.1,20.169645
2019-03-22,20.1,20.136076
2019-03-23,20.1,20.112902
2019-03-24,20.1,20.104782
2019-03-26,20.1,20.127768
2019-03-27,20.1,20.14922
2019-03-28,20.1,20.148428
2019-03-29,20.1,20.164133
2019-03-30,20.1,20.169365
2019-03-31,20.1,20.134975
2019-04-02,20.2,20.110233
2019-04-03,20.1,20.139427
2019-04-04,20.1,20.143406
2019-04-07,20.1,20.113544
2019-04-09,20.1,20.105621
2019-04-10,20.1,20.124454
