date,Price,Price_pred
2019-01-01,50.4,68.7222
2019-01-02,54.3,56.927624
2019-01-03,50.4,48.54086
2019-01-04,52.0,53.99852
2019-01-05,52.7,58.899895
2019-01-06,49.8,57.918606
2019-01-08,49.5,51.908474
2019-01-09,51.2,52.937256
2019-01-10,51.0,51.72792
2019-01-11,51.4,58.16353
2019-01-12,49.7,58.919052
2019-01-13,47.5,53.268536
2019-01-15,52.099999999999994,51.274754
2019-01-16,49.3,49.92652
2019-01-17,50.6,53.020027
2019-01-18,54.8,54.744255
2019-01-19,56.3,57.617462
2019-01-20,57.60000000000001,53.764416
2019-01-22,56.9,55.03779
2019-01-23,58.3,54.274677
2019-01-24,62.5,64.762634
2019-01-25,58.9,67.89747
2019-01-26,63.1,69.84367
2019-01-27,56.3,66.42541
2019-01-29,63.2,62.668304
2019-01-30,55.2,65.98128
2019-01-31,59.2,63.27865
2019-02-01,64.9,59.696728
2019-02-02,67.5,59.83914
2019-02-03,70.7,64.913315
2019-02-04,72.7,70.906525
2019-02-10,58.3,71.98912
2019-02-11,50.8,62.398865
2019-02-12,51.2,59.528637
2019-02-14,50.0,56.26512
2019-02-15,50.2,56.252106
2019-02-16,53.2,56.673645
2019-02-17,53.5,55.74145
2019-02-18,53.3,52.05883
2019-02-19,53.0,52.49639
2019-02-22,47.9,56.890503
2019-02-23,43.6,52.204086
2019-02-24,41.6,50.844765
2019-02-26,41.7,54.52607
2019-02-27,44.0,58.415783
2019-02-28,43.9,50.4562
2019-03-01,47.4,49.342827
2019-03-02,45.9,51.74488
2019-03-03,44.4,54.471733
2019-03-05,48.3,55.090332
2019-03-06,51.0,60.30415
2019-03-07,48.2,56.443317
2019-03-08,42.6,61.53778
2019-03-09,48.6,61.525208
2019-03-10,42.5,65.60202
2019-03-12,49.4,56.27936
2019-03-13,48.6,58.51338
2019-03-14,47.6,58.010353
2019-03-15,44.5,52.19877
2019-03-16,48.9,51.05822
2019-03-17,50.1,56.49911
2019-03-19,53.4,54.68315
2019-03-20,51.4,54.52253
2019-03-21,51.6,52.436207
2019-03-22,49.5,52.712067
2019-03-23,51.6,51.984875
2019-03-24,52.4,47.860447
2019-03-26,50.2,57.12249
2019-03-27,51.3,58.07782
2019-03-28,47.1,54.85637
2019-03-29,48.1,51.92002
2019-03-30,54.2,48.429066
2019-03-31,60.3,48.27672
2019-04-02,58.9,53.06916
2019-04-03,55.4,56.469
2019-04-04,64.7,55.669582
2019-04-07,68.4,68.46143
2019-04-09,57.4,65.78862
2019-04-10,55.3,66.42346
2019-04-11,54.6,64.32212
2019-04-12,54.0,63.221794
2019-04-13,60.0,60.884247
2019-04-14,63.2,59.946037
2019-04-16,59.4,60.99743
2019-04-17,57.1,68.00673
2019-04-18,61.6,64.716995
2019-04-19,62.8,69.114075
2019-04-20,68.0,67.73628
2019-04-21,62.7,67.96165
2019-04-23,62.8,67.12841
2019-04-24,61.9,66.053116
2019-04-25,66.5,67.69608
2019-04-26,59.3,61.505745
2019-04-27,66.5,56.50273
2019-04-28,63.0,59.032646
2019-04-30,58.5,64.980194
2019-05-01,61.6,54.654167
2019-05-02,65.0,59.058975
2019-05-03,63.8,60.777073
2019-05-04,60.7,68.01469
2019-05-05,64.3,68.50865
2019-05-07,61.9,70.05662
2019-05-08,58.0,68.95166
2019-05-09,58.4,79.05067
2019-05-10,65.8,79.066765
2019-05-11,67.7,66.24615
2019-05-12,66.1,65.34619
2019-05-14,78.3,63.62027
2019-05-15,78.3,67.15895
2019-05-17,71.1,67.48204
2019-05-18,59.3,74.13071
2019-05-19,65.3,59.88707
2019-05-21,62.3,49.647266
2019-05-22,58.9,54.71399
2019-05-23,55.8,59.953373
2019-05-24,53.8,60.751648
2019-05-25,54.8,62.17848
2019-05-26,57.9,68.07267
2019-05-28,71.3,75.0232
2019-05-29,53.2,74.269745
2019-05-30,53.6,66.170334
2019-05-31,54.4,71.680565
2019-06-01,65.2,54.60074
2019-06-02,53.3,51.23771
2019-06-04,57.0,63.899418
2019-06-05,56.0,67.83586
2019-06-06,69.3,60.227768
2019-06-07,68.4,69.55078
2019-06-08,71.7,72.748924
2019-06-11,54.8,85.80569
2019-06-12,50.3,92.77924
2019-06-13,86.4,71.36096
2019-06-14,56.4,52.234642
2019-06-15,75.5,51.892513
2019-06-16,48.3,60.376045
2019-06-18,44.7,61.843254
2019-06-19,40.9,66.216866
2019-06-20,43.1,65.891716
2019-06-21,52.2,58.39145
2019-06-22,48.7,57.73777
2019-06-23,40.800000000000004,56.668938
2019-06-25,46.6,57.69008
2019-06-26,46.6,42.035984
2019-06-27,38.0,47.138847
2019-06-28,50.5,43.41927
2019-06-29,47.3,37.175316
2019-06-30,42.7,39.06918
2019-07-02,55.7,34.834156
2019-07-03,45.7,59.45556
2019-07-04,40.9,56.80713
2019-07-05,56.7,47.40964
2019-07-06,57.0,53.331684
2019-07-07,68.3,62.4741
2019-07-09,63.4,65.48705
2019-07-10,57.60000000000001,70.53279
2019-07-11,59.8,71.691475
2019-07-12,75.4,74.19825
2019-07-13,68.3,79.08041
2019-07-14,106.4,84.895355
2019-07-16,99.7,86.231125
2019-07-17,75.2,86.82312
2019-07-18,76.6,91.05226
2019-07-19,114.3,83.634026
2019-07-20,110.1,70.78944
2019-07-21,121.7,56.608818
2019-07-23,105.1,46.73456
2019-07-24,92.4,53.239273
2019-07-25,104.9,71.34781
2019-07-26,92.0,76.196434
2019-07-27,106.0,79.800934
2019-07-28,83.6,71.453125
2019-07-30,113.6,79.08895
2019-07-31,99.2,80.19047
2019-08-01,101.6,86.90205
2019-08-02,90.1,96.57172
