date,Price,Price_pred
2019-01-01,26.4,26.48363
2019-01-02,26.3,26.59831
2019-01-03,27.3,26.788643
2019-01-04,26.9,28.086271
2019-01-05,29.4,28.341724
2019-01-06,32.0,28.533161
2019-01-08,32.2,28.86024
2019-01-09,28.4,30.340113
2019-01-10,27.1,29.31131
2019-01-11,26.6,28.995203
2019-01-12,26.8,28.122248
2019-01-13,24.7,27.761875
2019-01-15,24.8,25.665857
2019-01-16,25.9,24.89786
2019-01-17,26.8,25.210815
2019-01-18,27.8,25.089891
2019-01-19,29.3,27.170422
2019-01-20,33.1,28.400873
2019-01-22,33.0,30.767813
2019-01-23,29.3,31.78177
2019-01-24,29.1,31.468103
2019-01-25,25.9,30.713095
2019-01-26,23.6,30.212044
2019-01-27,24.2,27.348692
2019-01-29,25.6,26.243595
2019-01-30,26.6,26.62229
2019-01-31,25.6,27.74389
2019-02-01,24.0,27.964718
2019-02-02,22.8,26.24148
2019-02-03,24.6,25.632416
2019-02-04,27.6,25.352274
2019-02-10,24.9,27.393553
2019-02-11,25.8,25.307905
2019-02-12,25.0,25.670134
2019-02-14,25.8,25.907532
2019-02-15,28.5,26.553566
2019-02-16,28.9,28.80894
2019-02-17,27.2,29.972473
2019-02-18,23.6,29.588583
2019-02-19,20.7,27.807634
2019-02-22,19.8,25.804428
2019-02-23,17.4,23.605032
2019-02-24,16.3,21.533754
2019-02-26,17.8,18.798716
2019-02-27,20.4,18.652811
2019-02-28,20.8,20.17418
2019-03-01,19.6,21.418024
2019-03-02,19.8,21.788242
2019-03-03,20.9,21.708832
2019-03-05,21.1,21.457668
2019-03-06,21.4,22.19973
2019-03-07,22.7,21.280643
2019-03-08,22.4,22.439747
2019-03-09,23.4,23.068388
2019-03-10,25.6,22.299107
2019-03-12,26.1,23.967854
2019-03-13,29.1,25.35738
2019-03-14,29.3,27.951727
2019-03-15,30.7,29.83546
2019-03-16,30.1,31.390318
2019-03-17,30.4,31.729004
2019-03-19,33.2,31.466846
2019-03-20,34.7,32.004776
2019-03-21,32.5,33.604046
2019-03-22,31.6,32.593895
2019-03-23,32.0,33.420193
2019-03-24,32.3,33.115982
2019-03-26,31.8,32.13365
2019-03-27,32.6,31.777157
2019-03-28,32.6,32.070057
2019-03-29,33.6,32.67409
2019-03-30,30.7,31.896442
2019-03-31,31.0,31.938225
2019-04-02,34.2,31.860867
2019-04-03,31.6,32.174927
2019-04-04,32.9,30.901308
2019-04-07,32.9,32.4153
2019-04-09,32.2,33.413597
2019-04-10,33.0,32.374866
2019-04-11,32.0,33.068382
2019-04-12,30.8,31.30272
2019-04-13,30.2,30.717735
2019-04-14,29.7,29.242407
2019-04-16,30.8,29.120226
2019-04-17,30.7,28.576473
2019-04-18,29.4,29.464413
2019-04-19,29.7,29.349215
2019-04-20,28.3,27.114801
2019-04-21,27.8,28.218987
2019-04-23,28.4,26.917473
2019-04-24,28.8,27.127373
2019-04-25,28.4,27.185076
2019-04-26,27.4,26.567778
2019-04-27,25.6,26.591173
2019-04-28,25.9,26.474401
2019-04-30,27.6,26.260544
2019-05-01,28.3,25.908169
2019-05-02,29.4,24.91141
2019-05-03,28.3,27.730497
2019-05-04,28.0,29.078604
2019-05-05,30.5,28.86392
2019-05-07,30.8,30.84093
2019-05-08,29.2,31.685024
2019-05-09,29.6,31.634655
2019-05-10,29.7,29.777676
2019-05-11,29.6,29.869621
2019-05-12,30.9,30.34267
2019-05-14,30.7,30.075844
2019-05-15,30.8,30.281006
2019-05-17,33.1,29.4069
2019-05-18,36.4,29.43707
