date,Price,Price_pred
2019-01-01,16.0,13.937179
2019-01-02,17.4,9.87575
2019-01-03,16.9,3.4178867
2019-01-04,17.3,6.6981297
2019-01-05,23.3,10.956971
2019-01-06,19.2,14.733219
2019-01-08,20.4,11.488565
2019-01-09,18.4,12.416179
2019-01-10,16.5,13.715498
2019-01-11,21.4,13.022364
2019-01-12,16.9,19.18899
2019-01-13,17.200000000000003,15.653813
2019-01-15,18.9,12.514289
2019-01-16,20.4,13.541496
2019-01-17,30.0,13.529487
2019-01-18,31.8,19.485542
2019-01-19,28.0,24.099869
2019-01-20,21.0,21.02699
2019-01-22,22.3,19.410461
2019-01-23,23.4,17.706615
2019-01-24,21.7,15.380644
2019-01-25,24.5,19.22174
2019-01-26,23.3,19.509268
2019-01-27,20.4,18.383862
2019-01-29,18.0,16.387686
2019-01-30,19.5,15.967473
2019-01-31,22.4,19.17009
2019-02-01,22.6,21.467604
2019-02-02,21.9,18.458733
2019-02-03,22.4,17.525284
2019-02-04,22.1,23.03549
2019-02-10,18.8,24.323423
2019-02-11,17.6,16.905773
2019-02-12,15.299999999999999,14.91117
2019-02-14,17.4,12.954457
2019-02-15,18.6,13.341001
2019-02-16,16.0,15.248583
2019-02-17,16.3,13.896733
2019-02-18,16.2,14.72041
2019-02-19,14.9,15.722138
2019-02-22,16.4,17.222923
2019-02-23,16.8,15.282918
2019-02-24,14.3,14.059341
2019-02-26,17.9,11.200784
2019-02-27,18.1,18.8881
2019-02-28,21.5,20.878489
2019-03-01,19.8,19.674088
2019-03-02,20.6,22.237568
2019-03-03,21.6,22.01366
2019-03-05,20.9,21.95097
2019-03-06,20.3,26.383118
2019-03-07,20.7,22.909904
2019-03-08,19.4,20.474585
2019-03-09,20.3,24.068512
2019-03-10,19.2,18.64494
2019-03-12,18.8,18.115509
2019-03-13,20.3,19.805534
2019-03-14,21.1,18.14547
2019-03-15,19.6,14.941948
2019-03-16,19.2,12.11825
2019-03-17,19.2,12.294014
2019-03-19,19.2,14.311988
2019-03-20,20.1,17.274357
2019-03-21,20.5,20.759083
2019-03-22,21.2,21.795902
2019-03-23,21.6,19.0849
2019-03-24,20.4,16.348389
2019-03-26,21.3,13.996278
2019-03-27,21.1,17.55909
2019-03-28,21.0,19.773796
2019-03-29,21.2,22.609703
2019-03-30,20.2,26.697588
2019-03-31,20.5,22.387518
2019-04-02,19.3,21.002611
2019-04-03,20.6,16.90263
2019-04-04,22.8,14.643211
2019-04-07,22.6,15.1800165
2019-04-09,22.3,18.66401
2019-04-10,23.2,23.811165
2019-04-11,22.2,25.589722
2019-04-12,21.1,24.992243
2019-04-13,19.0,25.58668
2019-04-14,18.9,23.295338
2019-04-16,20.3,23.024511
2019-04-17,19.9,19.274153
2019-04-18,21.5,21.959408
2019-04-19,23.4,22.682165
2019-04-20,24.8,20.4132
2019-04-21,25.2,21.163773
2019-04-23,24.1,22.31758
2019-04-24,23.9,23.3274
2019-04-25,22.8,23.754463
2019-04-26,24.4,23.527775
2019-04-27,25.9,27.496778
2019-04-28,26.1,27.818485
2019-04-30,26.6,24.09107
2019-05-01,26.9,24.988108
2019-05-02,29.1,21.276066
2019-05-03,28.2,24.29851
2019-05-04,31.6,24.281532
2019-05-05,32.7,29.156471
2019-05-07,30.9,30.933807
2019-05-08,27.8,29.388424
2019-05-09,26.8,27.169296
2019-05-10,26.4,23.557968
2019-05-11,27.1,23.936356
2019-05-12,22.1,23.465687
2019-05-14,23.1,21.860207
2019-05-15,24.8,22.125175
2019-05-17,26.1,24.34174
2019-05-18,25.5,21.182955
2019-05-19,28.3,26.41665
2019-05-21,32.7,28.312143
2019-05-22,35.4,31.480196
2019-05-23,34.5,34.631157
2019-05-24,33.7,34.537823
2019-05-25,32.3,32.092625
2019-05-26,32.0,31.46043
2019-05-28,28.7,30.055674
2019-05-29,28.0,27.052603
2019-05-30,29.6,27.533476
2019-05-31,32.6,31.551796
2019-06-01,37.0,36.485733
2019-06-02,34.6,38.89666
2019-06-04,35.6,33.938694
2019-06-05,35.0,33.73814
2019-06-06,37.1,32.825634
2019-06-07,36.3,37.57558
2019-06-08,30.0,36.59083
2019-06-11,31.3,37.08479
2019-06-12,30.8,34.04843
2019-06-13,31.4,36.127537
2019-06-14,29.6,30.076366
2019-06-15,29.8,36.80974
2019-06-16,27.3,32.72191
2019-06-18,27.2,33.770855
2019-06-19,25.2,31.025251
2019-06-20,21.7,27.446442
2019-06-21,20.9,24.193537
2019-06-22,18.5,22.619198
2019-06-23,17.5,18.722593
2019-06-25,17.1,16.181498
2019-06-26,18.5,17.647964
2019-06-27,19.5,22.327456
2019-06-28,19.2,22.827194
2019-06-29,19.5,23.947533
2019-06-30,18.7,24.296658
2019-07-02,21.6,23.808327
2019-07-03,21.4,15.933657
2019-07-04,22.2,19.36308
2019-07-05,22.4,15.805504
2019-07-06,23.0,15.894091
2019-07-07,22.2,19.08362
2019-07-09,22.5,21.03172
2019-07-10,23.1,19.822727
2019-07-11,22.0,27.106289
2019-07-12,22.5,22.625233
2019-07-13,27.1,25.366611
2019-07-14,27.3,24.011713
2019-07-16,30.7,27.697102
2019-07-17,32.2,31.370752
2019-07-18,34.0,34.066586
2019-07-19,36.6,39.01661
2019-07-20,37.4,45.921364
2019-07-21,37.8,42.96122
2019-07-23,36.0,43.214775
2019-07-24,37.9,42.596825
2019-07-25,38.9,41.708946
2019-07-26,40.4,40.37558
2019-07-27,41.5,43.968933
2019-07-28,39.0,42.85054
2019-07-30,36.8,45.683125
2019-07-31,38.5,44.35912
2019-08-01,41.3,50.567745
2019-08-02,45.0,46.254704
2019-08-03,43.3,44.56637
2019-08-04,41.7,44.354523
2019-08-06,37.2,45.247864
2019-08-07,35.8,39.51987
2019-08-08,32.1,39.076008
2019-08-09,28.1,36.2265
2019-08-10,30.5,35.861565
2019-08-11,33.8,38.44326
2019-08-13,31.9,44.032097
