,平均價,DateTime,predict,diff
0,70.0,2019-01-01,57.06930247223092,12.930697527769077
1,69.9,2019-01-02,57.10320488523536,12.796795114764649
2,70.0,2019-01-03,56.67385652595858,13.326143474041423
3,69.7,2019-01-04,56.65264778088357,13.047352219116434
4,70.0,2019-01-05,56.472635426008104,13.527364573991896
5,69.6,2019-01-06,56.30891656724393,13.291083432756068
6,70.0,2019-01-08,57.47837507374889,12.521624926251107
7,70.1,2019-01-09,57.5011890678604,12.598810932139592
8,69.6,2019-01-10,57.050893495831964,12.54910650416803
9,69.9,2019-01-11,56.99859749070652,12.901402509293483
10,69.9,2019-01-12,56.78430561151091,13.115694388489096
11,70.0,2019-01-13,56.59279240640392,13.407207593596077
12,70.0,2019-01-15,57.4444707623788,12.5555292376212
13,70.1,2019-01-16,57.462860314293536,12.637139685706458
14,70.1,2019-01-17,57.003388924161605,13.09661107583839
15,69.7,2019-01-18,56.951606288138606,12.748393711861397
16,69.4,2019-01-19,56.74252244093064,12.657477559069363
17,70.0,2019-01-20,56.55218114192122,13.447818858078783
18,69.9,2019-01-22,56.93716542538478,12.96283457461523
19,70.1,2019-01-23,56.962256269352324,13.13774373064767
20,70.1,2019-01-24,56.517973966100854,13.58202603389914
21,70.1,2019-01-25,56.483860801801576,13.616139198198418
22,70.1,2019-01-26,56.30134379881147,13.798656201188521
23,70.2,2019-01-27,56.151533776405564,14.048466223594438
24,70.2,2019-01-29,56.987715813593034,13.212284186406968
25,68.4,2019-01-30,57.064238162850046,11.33576183714996
26,69.6,2019-01-31,56.671420443680184,12.92857955631981
27,68.7,2019-02-01,56.69907927351076,12.000920726489241
28,69.6,2019-02-02,56.57929852042621,13.020701479573788
29,69.9,2019-02-03,56.48174195998431,13.418258040015694
30,70.0,2019-02-10,56.81506701574772,13.184932984252278
31,70.0,2019-02-11,55.44524959776922,14.55475040223078
32,68.9,2019-02-12,55.944025181777995,12.95597481822201
33,69.9,2019-02-14,55.71304610387188,14.186953896128124
34,69.8,2019-02-15,55.74407547376586,14.055924526234136
35,70.1,2019-02-16,55.59436664904868,14.505633350951314
36,70.2,2019-02-17,55.49215493975812,14.70784506024188
37,70.0,2019-02-18,54.11947691777746,15.880523082222538
38,69.9,2019-02-19,57.060410216508764,12.839589783491242
39,69.9,2019-02-22,56.346081520416384,13.553918479583622
40,70.3,2019-02-23,56.02366848386816,14.27633151613184
41,70.0,2019-02-24,55.70819788803161,14.291802111968387
42,70.0,2019-02-26,55.11030574529422,14.88969425470578
43,70.1,2019-02-27,54.91555326813725,15.184446731862742
44,70.3,2019-02-28,54.27971447064714,16.020285529352854
45,70.0,2019-03-01,54.07864603275353,15.921353967246468
46,70.1,2019-03-02,53.67591368171636,16.424086318283635
47,69.6,2019-03-03,53.28203209127938,16.31796790872061
48,70.2,2019-03-05,54.117913880604384,16.08208611939562
49,69.9,2019-03-06,53.912818921665995,15.987181078334011
50,70.0,2019-03-07,53.24096458878026,16.75903541121974
51,69.8,2019-03-08,52.977360211501924,16.822639788498073
52,69.9,2019-03-09,52.55943562420169,17.340564375798316
53,70.1,2019-03-10,52.164933057156105,17.93506694284389
54,70.2,2019-03-12,52.41394405165658,17.786055948343424
55,70.1,2019-03-13,52.2223217730902,17.877678226909794
56,70.1,2019-03-14,51.55108553739435,18.548914462605644
57,70.0,2019-03-15,51.28463022576002,18.71536977423998
58,70.3,2019-03-16,50.85454756032632,19.44545243967368
59,70.0,2019-03-17,50.434541315112455,19.565458684887545
60,70.2,2019-03-19,50.53851891447349,19.66148108552651
61,70.0,2019-03-20,50.27837271580119,19.72162728419881
62,69.9,2019-03-21,49.51082422571454,20.389175774285462
63,70.0,2019-03-22,49.126497381347676,20.873502618652324
64,70.0,2019-03-23,48.55577524564543,21.444224754354572
65,69.7,2019-03-24,47.98104480508633,21.718955194913676
66,70.0,2019-03-26,48.014464521736635,21.985535478263365
67,70.0,2019-03-27,47.55412466531829,22.44587533468171
68,70.0,2019-03-28,46.5815912136665,23.4184087863335
69,70.0,2019-03-29,45.983656764200255,24.016343235799745
70,70.5,2019-03-30,45.202980224460404,25.297019775539596
71,70.0,2019-03-31,44.4185949558187,25.581405044181302
72,69.8,2019-04-02,44.275606122771904,25.524393877228093
73,69.8,2019-04-03,43.643749531694965,26.156250468305032
74,69.8,2019-04-04,42.52416588111954,27.275834118880454
75,70.0,2019-04-07,40.0525261102634,29.9474738897366
76,70.1,2019-04-09,38.389571014653676,31.71042898534632
77,69.9,2019-04-10,37.808073411746356,32.09192658825365
78,70.0,2019-04-11,36.787301096360714,33.212698903639286
79,70.4,2019-04-12,36.11970657835627,34.280293421643734
80,70.2,2019-04-13,35.41486505929771,34.78513494070229
81,69.5,2019-04-14,34.866567469778644,34.633432530221356
82,70.3,2019-04-16,37.095152759896614,33.20484724010338
83,70.0,2019-04-17,36.81189694427147,33.18810305572853
84,69.9,2019-04-18,36.105723102245605,33.7942768977544
85,70.2,2019-04-19,35.86063929669924,34.33936070330076
86,70.0,2019-04-20,35.51090890069051,34.48909109930949
87,70.1,2019-04-21,35.2509284035408,34.8490715964592
88,69.8,2019-04-23,36.31110171300614,33.48889828699386
89,70.0,2019-04-24,36.43686793289114,33.56313206710886
90,69.9,2019-04-25,36.117597925622746,33.78240207437726
91,70.2,2019-04-26,36.24410269766902,33.95589730233098
92,70.4,2019-04-27,36.23703124895745,34.162968751042555
93,71.6,2019-04-28,36.28593676060788,35.31406323939211
94,78.5,2019-04-30,37.86454015276495,40.63545984723505
95,79.8,2019-05-01,38.19630662266854,41.60369337733146
96,79.7,2019-05-02,38.035207245605285,41.66479275439472
97,80.0,2019-05-03,38.27806456930471,41.72193543069529
98,79.8,2019-05-04,38.34245454253407,41.457545457465926
99,80.0,2019-05-05,38.41483348564253,41.58516651435747
100,79.1,2019-05-07,40.927724493202895,38.1722755067971
101,79.9,2019-05-08,41.13286443253832,38.767135567461686
102,79.8,2019-05-09,40.80472879689892,38.995271203101076
103,93.7,2019-05-10,40.842727728079154,52.85727227192085
104,99.2,2019-05-11,40.663824905057346,58.53617509494266
105,99.6,2019-05-12,40.468066886291524,59.13193311370847
106,99.4,2019-05-14,42.44290189040842,56.957098109591584
107,99.8,2019-05-15,42.33219554365019,57.46780445634981
108,98.3,2019-05-17,41.431517912013724,56.86848208798627
109,98.4,2019-05-18,40.948086030953476,57.45191396904653
110,99.8,2019-05-19,40.43548903916378,59.36451096083622
111,99.9,2019-05-21,41.51029941772947,58.389700582270535
112,100.0,2019-05-22,41.15503447445785,58.84496552554215
113,99.9,2019-05-23,40.10970039132178,59.790299608678225
114,99.7,2019-05-24,39.76918879421947,59.930811205780536
115,97.9,2019-05-25,39.085259803785526,58.81474019621448
116,100.0,2019-05-26,38.424228116085075,61.575771883914925
117,98.7,2019-05-28,40.54002828899679,58.159971711003216
118,99.8,2019-05-29,40.09117807427382,59.70882192572618
119,99.7,2019-05-30,39.11907135732812,60.580928642671886
120,99.2,2019-05-31,38.556196306728594,60.64380369327141
121,99.4,2019-06-01,37.8188922226552,61.581107777344805
122,99.9,2019-06-02,37.128930427179476,62.77106957282053
123,94.2,2019-06-04,38.922741424411115,55.27725857558889
124,99.9,2019-06-05,38.53065548483805,61.369344515161956
125,99.8,2019-06-06,37.613576390815936,62.18642360918406
126,99.8,2019-06-07,37.11989542067804,62.680104579321956
127,98.9,2019-06-08,36.46109150061574,62.43890849938427
128,97.2,2019-06-11,34.65605962858097,62.54394037141903
129,100.0,2019-06-12,34.34957084797808,65.65042915202193
130,99.7,2019-06-13,33.51765570815096,66.18234429184903
131,99.3,2019-06-14,33.09368438059142,66.20631561940857
132,99.6,2019-06-15,32.503222605856855,67.09677739414315
133,89.6,2019-06-18,34.955017356854626,54.64498264314537
134,90.0,2019-06-19,34.65395765409051,55.34604234590949
135,89.8,2019-06-20,33.82967605126546,55.97032394873454
136,89.8,2019-06-21,33.421448481104605,56.37855151889539
137,89.5,2019-06-22,32.82625617931433,56.67374382068567
138,89.5,2019-06-23,32.26453452897344,57.23546547102656
139,89.5,2019-06-25,32.31604481788498,57.18395518211502
140,89.9,2019-06-26,32.05282710281325,57.84717289718676
141,90.0,2019-06-27,31.272394942309987,58.72760505769001
142,90.0,2019-06-28,30.914632913660608,59.08536708633939
143,89.5,2019-06-29,30.371905803879628,59.12809419612037
144,89.9,2019-06-30,29.880266302988748,60.01973369701126
145,90.0,2019-07-02,31.13918526588758,58.860814734112424
146,90.0,2019-07-03,30.901704791584287,59.09829520841571
147,90.0,2019-07-04,30.150496504925126,59.84950349507487
148,89.4,2019-07-05,29.82155300432782,59.57844699567218
149,88.4,2019-07-06,29.315052048724716,59.08494795127529
150,85.2,2019-07-07,28.85905650983731,56.340943490162694
151,85.0,2019-07-09,30.060132634448443,54.93986736555156
152,85.3,2019-07-10,29.86160502776504,55.43839497223496
153,84.8,2019-07-11,29.150711674565287,55.64928832543471
154,85.1,2019-07-12,28.855857561641088,56.24414243835891
155,85.0,2019-07-13,28.391627958453913,56.60837204154609
156,84.8,2019-07-14,27.964413306212503,56.83558669378749
157,84.9,2019-07-16,28.571119969784185,56.32888003021582
158,85.0,2019-07-17,28.435434120852328,56.56456587914767
159,85.0,2019-07-18,27.79748869342202,57.202511306577975
160,85.0,2019-07-19,27.574097987059808,57.42590201294019
161,85.0,2019-07-20,27.187862990051865,57.81213700994813
162,85.0,2019-07-21,26.839756346035514,58.160243653964486
163,84.7,2019-07-23,28.716239789366842,55.983760210633164
164,85.0,2019-07-24,28.666910161081496,56.333089838918504
165,85.0,2019-07-25,28.119078699163182,56.88092130083682
166,85.0,2019-07-26,27.99171451067632,57.00828548932368
